features,class
"[-311.99384    157.1347     -83.984375    48.529808    45.979668
  -54.687973   -13.458068   -17.460228   -53.000736   -11.158964
  -24.849102   -42.640438     2.4653614   -6.770239   -28.062752
   -2.9073591   -6.322322   -13.059984    -2.296494   -12.79074
   -9.0931015   -1.1429836  -17.602858   -10.086056     3.2658942
  -10.508709    -9.628531    -2.0336537   -7.509765    -3.6901011
   -3.3181853   -7.476062    -1.3548566   -6.157563   -12.213037
   -4.5192776   -8.130017   -12.148693    -0.9428959    4.1928678]",Number_0
"[-378.4808     165.19113    -58.163918    23.66229     25.352272
  -46.209106   -13.374226   -26.877066   -52.41203     -8.64531
  -20.767849   -40.11602     -1.8762088   -7.513383   -25.397564
   -6.8760095  -11.242388   -15.654661    -5.8808947  -15.057048
  -12.157735    -4.3483553  -14.728888    -8.864005    -2.658937
  -12.319031    -6.717521    -3.8412337  -10.516307    -2.6100729
   -1.5741901   -7.1632833   -1.4785088   -5.08467     -9.247854
   -1.6749718   -4.5594764   -6.437797     1.5781027    1.2389404]",Number_0
"[-424.296       127.45943     -54.030827     18.501108     26.334116
  -34.28048     -13.601631    -19.30387     -32.278614     -4.7537465
  -23.878239    -34.316734     -1.1977768   -12.305516    -23.586525
   -0.47249055   -5.099891    -10.242506     -1.4248205   -12.408734
  -10.144346     -0.5315923   -13.362695    -11.849118     -3.4397597
  -12.173409     -7.2221966     1.12158      -5.2810016    -1.78392
    2.3973675    -3.9704354    -4.4414515    -5.333647     -7.443936
   -3.961917     -5.985995     -6.9862185    -1.9669596    -2.441894  ]",Number_0
"[-3.8902725e+02  1.6562601e+02 -7.9672852e+01  2.6153030e+01
  3.1889027e+01 -5.0803654e+01 -9.9898682e+00 -1.7846062e+01
 -4.4999996e+01 -4.3846083e+00 -2.3904572e+01 -4.1272133e+01
 -2.3050714e-01 -1.3007811e+01 -2.6546686e+01  1.5228980e+00
 -6.5939803e+00 -1.3079910e+01 -2.3221359e+00 -1.5896761e+01
 -1.2800955e+01 -4.4738979e+00 -1.9255375e+01 -1.1711296e+01
 -2.1258485e+00 -1.2901201e+01 -5.7608581e+00 -5.5258167e-01
 -7.5743361e+00 -7.8495157e-01 -2.6299036e+00 -9.8147316e+00
 -3.7382610e+00 -9.2929726e+00 -1.4777980e+01 -6.8418641e+00
 -1.1018025e+01 -1.3495607e+01 -3.5503898e+00  1.1922802e+00]",Number_0
"[-3.8872736e+02  1.6919424e+02 -7.7485077e+01  2.3496153e+01
  3.5848782e+01 -4.6378609e+01 -1.2656125e+01 -1.8466722e+01
 -4.3811592e+01 -4.6393080e+00 -2.2573290e+01 -4.1504265e+01
 -1.0200706e+00 -1.1417506e+01 -2.7826263e+01 -1.7196548e+00
 -8.6823025e+00 -1.5685279e+01 -3.4092765e+00 -1.7723402e+01
 -1.6592388e+01 -3.1096156e+00 -1.7655863e+01 -1.5428349e+01
 -1.8939068e+00 -1.0820517e+01 -8.6059494e+00 -1.2995274e+00
 -6.7691131e+00 -2.0041285e+00 -2.2653623e-02 -7.0327854e+00
 -5.0286503e+00 -7.5504384e+00 -1.1516984e+01 -7.2732387e+00
 -1.0090898e+01 -7.9293513e+00  3.1369021e+00  3.5504723e+00]",Number_0
"[-383.44644     161.52827     -80.09049      22.777481     37.08972
  -47.31544     -17.292404    -20.863712    -45.543285     -7.882513
  -20.754232    -38.30778      -3.2759492   -10.968572    -23.78979
   -2.7387135    -9.765639    -12.628501     -0.5517351   -12.273046
  -10.168071     -3.0498931   -19.011625    -14.147636     -1.6956434
   -9.119489     -5.730784     -2.654814     -8.541274     -1.3755207
   -0.82339066   -7.5112042    -4.3409286   -10.071598    -14.454712
   -5.829214     -9.758213    -14.831973     -6.201175     -2.1317894 ]",Number_0
"[-381.26553     154.82246     -69.94868      25.956053     32.822342
  -50.832184    -16.337427    -14.797986    -42.87923      -9.536376
  -19.736809    -38.22702      -5.6128497   -12.073426    -26.170664
   -3.6399956    -6.1711516   -12.009632     -3.0099504   -11.173825
   -8.068551     -3.5969431   -19.798561    -12.339486      0.91965675
  -10.65594      -8.974703     -2.564629     -9.921788     -5.8701386
   -2.4379902    -7.061487     -3.6208246    -7.8808613   -14.657565
   -8.745267    -10.473121    -13.483861     -3.4586737     2.5568264 ]",Number_0
"[-360.07867     146.25652     -63.283817     21.647974     31.564516
  -40.7185      -14.3665495   -17.421053    -41.346107     -9.623708
  -20.305754    -37.746727     -5.464912     -9.416956    -23.769726
   -4.6248946    -6.191245    -10.375823     -0.9082605    -9.76909
  -10.09474      -4.819509    -18.136276    -13.766892     -0.71742094
   -7.8851585    -7.5476007    -1.8625017    -4.721936     -0.66760194
   -0.98018795   -6.822736     -3.1586928    -6.4168954   -12.872808
   -8.299313     -9.591054    -11.839779     -4.2131877    -1.6749756 ]",Number_0
"[-4.1134595e+02  1.5833806e+02 -6.0081989e+01  2.2687099e+01
  2.8661388e+01 -4.3896873e+01 -1.2901448e+01 -1.8700916e+01
 -4.2666077e+01 -7.2581987e+00 -2.1570227e+01 -4.0360874e+01
 -5.6908517e+00 -1.1275235e+01 -2.4457235e+01 -3.3292401e+00
 -8.4918842e+00 -1.3445369e+01 -3.7844100e+00 -1.5344125e+01
 -1.2328008e+01 -2.4014976e+00 -1.8104891e+01 -1.5074019e+01
 -2.3778078e-01 -8.0542984e+00 -8.3178253e+00 -2.5388598e+00
 -7.1450820e+00 -4.0767140e+00 -2.6697080e+00 -7.1854029e+00
 -4.8194766e+00 -9.1845884e+00 -1.3888211e+01 -6.7416229e+00
 -6.2245946e+00 -6.8664193e+00  1.2515681e+00  3.3817523e+00]",Number_0
"[-405.922       153.96577     -52.39573      17.137508     27.856937
  -35.99913     -16.716288    -24.273409    -39.732407     -8.447277
  -24.572826    -37.04474      -3.3530695   -13.082068    -26.703274
   -5.4649       -9.819051    -13.749512     -2.3030822   -11.791509
  -12.044429     -5.177913    -16.27995     -11.259877     -0.76331013
   -8.566417     -6.5957003    -2.7649176    -7.153648     -0.63070077
    0.5167095    -5.989854     -3.306264     -7.772038    -13.391606
   -6.4453635    -7.427412    -10.302898     -2.5445993    -0.47215468]",Number_0
